game,console,Publisher,Release Year,Release Month,Release Day,Total Shipped,NA Sales,PAL Sales,Japan Sales,Other Sales,NS,PS4,XBOX ONE,PC,Genre(s),VGChartz Score,Metacritic(Critic),Metacritic(User),4Players,Destructoid,Edge,EGM,Game Informer,GameRevolution,GameSpot,GamesRadar+,IGN,Famitsu,Famitsu*5/2,Introduction
Spintires: MudRunner - American Wilds,NS,Maximum Games,2018,10,23,60000,50000,N/A,N/A,10000,1,1,1,0,Simulation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,"Mudrunner, stylised as  MudRunner (Formerly Spintires: Mudrunner) is an off-roading simulation game developed by Saber Interactive and published by Focus Home Interactive. It was released on October 31, 2017 for Microsoft Windows, PlayStation 4, and Xbox One and is a spin-off/sequel of the 2014 Windows-exclusive Spintires, which was developed by Oovee Game Studios. It was later added to the Xbox Game Passin December 2018. Similar to Spintires, MudRunner has the player control off-road vehicles as they traverse between locations to complete objectives. The game was released in Japan on Nintendo Switch on June 18, 2020. A sequel to MudRunner was released on April 28, 2020 titled SnowRunner."
Portal Knights,NS,505 Games,2018,2,13,60000,20000,20000,10000,0,1,1,1,1,"Action, Role-Playing, General, Action RPG",N/A,74,77,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,"Portal Knights is an independent survival action role-playing video game developed by Keen Games and published by 505 Games. It was first released on Steam on 18 May 2017 and subsequently released for PlayStation 4, Xbox One, Nintendo Switch, Android, and iOS."
One Piece: Pirate Warriors 3 - Deluxe Edition,NS,Bandai Namco Entertainment	,2018,5,11,60000,N/A,10000,50000,0,1,1,1,1,"Action, Beat-'Em-Up",85,76,82,70,75,N/A,N/A,N/A,70,N/A,N/A,69,36,90,"""ONE PIECE WARRIORS 3"" (Japanese: ワンピース海贼无双3, English: One Piece: Pirate Warriors 3, official translation in mainland China as ""One Piece: Pirate Warriors 3"") was developed by Koei Tecumo, based on ""ONE PIECE"" It is a Wushuang action game with the theme of PlayStation 4, PlayStation 3, PlayStation Vita, and Steam. It is published by Namco Bandai. The release date is March 26, 2015. On December 21, 2017, the ""One Piece: One Piece 3 Deluxe Edition"" containing various costumes and challenge plots (DLC) that have been released will be released on the Nintendo Switch platform."
Party Arcade,NS,Planet Entertainment	,2018,11,9,60000,50000,N/A,N/A,10000,1,1,1,0,"Miscellaneous, Party, Minigame",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,"Party Arcade is a family friendly party game set in a modern virtual arcade. With 13 addictive games, players collect tickets, unlock different equipment skins, and battle against family and friends at home, or online around the world!"
The End is Nigh,NS,Nicalis,2017,12,12,60000,50000,N/A,N/A,10000,1,1,0,1,"Action, Platformer",N/A,80,81,N/A,85,70,N/A,82.5,N/A,N/A,N/A,N/A,N/A,#VALUE!,"The End Is Nigh is a platforming adventure video game developed by Edmund McMillen and Tyler Glaiel. The game was released on July 12, 2017 on Microsoft Windows via Steam. Ports of the game were released on August 15, 2017 on macOS, December 12, 2017 for Linux and Nintendo Switch, and on April 30, 2019 for PlayStation 4. The game has been described as a spiritual successor to McMillen's Super Meat Boy."
Tiny Barbarian DX,NS,Nicalis,2017,10,10,60000,50000,N/A,N/A,10000,1,0,0,1,"Action, General",N/A,77,77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,"Inspired by heroic fantasy novels, Little Barbarian DX is an action game where barbarians pursue revenge. Can you split the skull of your enemy, loot all the loot, and save the Babylon of your dreams?"
Owlboy,NS,Soedesco,2018,5,29,50000,30000,10000,N/A,10000,1,1,1,1,"Action Adventure, General",90,87,74,83,100,N/A,N/A,90,N/A,90,N/A,93,N/A,#VALUE!,"Owlboy is a platform-adventure video game created by the Norwegian independent developer; D-Pad Studio. The game is notable for its long development cycle, which began in 2007, and was released in November 2016."
Little Nightmares,NS,Bandai Namco Entertainment	,2018,5,18,50000,N/A,20000,30000,0,1,1,1,1,"Action Adventure, Linear",N/A,79,81,79,85,N/A,N/A,90,70,80,80,88,N/A,#VALUE!,"Little Nightmares is a puzzle-platform horror adventure game developed by Tarsier Studios and published by Bandai Namco Entertainment for Microsoft Windows, Nintendo Switch, PlayStation 4, Xbox One, and Stadia. Set in a mysterious world, Little Nightmares follows the journey of Six, a hungry little girl who must escape the Maw, an iron vessel inhabited by monstrous, twisted beings. The game received positive reviews upon release with critics praising its atmosphere, graphics, and sound, while criticizing its checkpoint system and short length. A sequel, Little Nightmares II, was released in February 2021."
Scribblenauts Mega Pack,NS,Warner Bros. Interactive Entertainment	,2018,9,18,50000,50000,N/A,N/A,10000,1,1,1,0,"Miscellaneous, Compilation",N/A,76,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,"Get the best of Scribblenauts with Scribblenauts Mega Pack! Two classic games with ALL-NEW content to explore!Scribblenauts Unlimited - Journey into Maxwell and Lily's world as you use the power of your imagination to solve exciting puzzles in endless ways. Discover the story of Maxwell's 41 siblings and create unique objects of your own to share online with your friends! Scribblenauts Unmasked: A DC Comics Adventure - Challenge your wits in an epic adventure against earth's mightiest villains! Invent your own alter ego with the Hero Creator. Join your favorite DC Comics super heroes to explore iconic all-new locations like TITANS TOWER & BELLE REVE and restore order to the universe.With Scribblenauts Unlimited & Scribblenauts Unmasked combined, the fun is limitless!"
Brawlout,NS,Merge Games,2018,6,26,50000,N/A,N/A,N/A,N/A,1,1,1,1,"Action, Fighting",62,60,57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,"Brawlout is a fighting game developed and published by Angry Mob Games for Microsoft Windows, Nintendo Switch, PlayStation 4, and Xbox One. The game was revealed at EVO in July 2016, and went into closed beta in December 2016. The game was initially released as early access for Microsoft Windows on April 20, 2017. Various outlets, such as Engadget, have compared Brawlout to the Super Smash Bros. series."
Senran Kagura Reflexions        ,NS,Xseed Games,2018,9,13,50000,N/A,N/A,N/A,N/A,1,0,0,1,"Action, Adventure, General",N/A,39,74,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,"SENRAN KAGURA Reflexions. Can you feel it? The beating of her heart... In a classroom after school, learn the ways of ""reflexology"" by syncing with her heart and body. In SENRAN KAGURA Reflexions, interact with your favorite shinobi heroine like never before."
VOEZ,NS,PM Studios,2018,8,14,50000,N/A,N/A,N/A,N/A,1,0,0,0,"Action, Rhythm, Music",85,81,80,85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,"Voez (stylized as VOEZ) is a rhythm game developed by Rayark, initially released in May 2016 for iOS devices,[4] while an Android version of the game was released one week later in June 2016.[5] In February 2017, it was announced that the game would be released on the Nintendo Switchby Japanese game publisher Flyhigh Works,[2] and was released in March 2017 worldwide."
My Riding Stables: Life with Horses,NS,TREVA Entertainment,2018,11,13,50000,40000,N/A,N/A,10000,1,1,0,0,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,"My Riding Stables : Life With Horses also known as My Riding Stables 2 : A Life For The Horses or Mein Gestüt : Ein Leben für die Pferde in Germany, is a fun and challenging horse game where you play as a young girl that will rebuild the The Riding Stables."
Toki Collector's Edition,NS,Microids        ,2018,11,22,50000,40000,N/A,N/A,10000,1,1,1,1,"Puzzle, Action",N/A,82,78,N/A,N/A,N/A,N/A,75,N/A,82,N/A,90,N/A,#VALUE!,"Toki sets off on a new adventure! The cult action arcade game originally released in 1989 is back with a super-simian new version, featuring all-new hand-drawn graphics and re-orchestrated music! Toki the warrior lived peacefully in the jungle with his sweetheart, Miho – that is, until the terrifying voodoo sorcerer, Vookimedlo, and heinous demon, Bashtar, kidnapped Miho and turned poor Toki into a chimpanzee! Now Toki must save Miho in his new form: a hairy, lethargic ape…."
I am Setsuna,NS,Square Enix	,2017,3,3,50000,N/A,N/A,50000,N/A,1,1,0,1,"Role-Playing, Japanese-Style",70,75,75,59,75,N/A,N/A,75,80,70,50,75,32,80,"I Am Setsuna is a Japanese role-playing video game developed by Tokyo RPG Factory and published by Square Enix. It was released for PlayStation 4 and PlayStation Vita in Japan in February 2016, and worldwide for PlayStation 4 and Microsoft Windows in July 2016. It was released for Nintendo Switch as a launch title worldwide on March 3, 2017."
Battle Chasers: Nightwar,NS,THQ Nordic,2018,5,15,50000,30000,10000,N/A,0,1,1,1,1,"Role-Playing, Action RPG, Japanese-Style",85,80,79,81,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80,N/A,#VALUE!,"Battle Chasers: Nightwar is a turn-based role-playing video game developed by Airship Syndicate and published by THQ Nordic. It was released in October 2017 for Microsoft Windows, macOS, PlayStation 4 and Xbox One,[1] and in May 2018 for Nintendo Switch and Linux.[2][3] Based on the Battle Chasers fantasy comic book series by Joe Madureira, the game involves the cast of that series being marooned on an island and being forced to stop the plans of an evil sorceress in order to escape."
Wonder Boy: The Dragon's Trap (Remake),NS,DotEmu,2017,4,18,50000,40000,N/A,N/A,10000,1,1,1,1,"Action Adventure, General",74,79,79,N/A,85,N/A,N/A,N/A,N/A,80,N/A,71,N/A,#VALUE!,"Wonder Boy: The Dragon's Trap is a platform action-adventure game developed by Lizardcube and published by Dotemu. The game is a remakeof the 1989 game Wonder Boy III: The Dragon's Trap, which was originally developed by Westone Bit Entertainment and published by Sega for the Master System as part of the Wonder Boy series. The game was released on Nintendo Switch, PlayStation 4, and Xbox One in April 2017, later releasing for Microsoft Windows in June 2017, macOS and Linux in July 2017, iOS and Android in May 2019, and Amazon Luna in October 2020."
Yomawari: The Long Night Collection,NS,NIS America,2018,10,30,50000,40000,N/A,10000,0,1,0,0,0,"Miscellaneous, Compilation",60,73,72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,"Yomawari: Night Alone (Japanese: 夜廻, Hepburn: Yomawari) is a survival horror video game created and developed by Nippon Ichi Software for the PlayStation Vita and Steam. The game was released in Japan on October 29, 2015 and in English in October 2016.[1] A sequel, Yomawari: Midnight Shadows was released worldwide on October 24, 2017."
The Escapists 2,NS,Sold Out,2018,10,30,50000,40000,N/A,N/A,0,1,1,1,1,"Action, General",N/A,73,67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,"The Escapists 2 is a strategy role-playing video game developed by Mouldy Toof Studios and published by Team17. It is the sequel to The Escapists (2015) and it was released worldwide for Microsoft Windows, macOS, Linux, PlayStation 4 and Xbox One in August 2017. Nintendo Switch and mobile phones versions were released in 2018 and 2019 respectively."
SNK Heroines Tag Team Frenzy,NS,NIS America,2018,9,7,50000,20000,10000,10000,0,1,1,0,1,"Action, Fighting",60,60,66,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31,77.5,"SNK Heroines: Tag Team Frenzy[a] (officially written as SNK HEROINES ~Tag Team Frenzy~) is a fighting game developed for PS4 by SNK and for Nintendo Switch by Abstraction Games. The game was released for the Nintendo Switch and PlayStation 4 in September 2018, and was published in Japan and Asia by SNK and SEGA and in North America and Europe by NIS America. An arcade version was released the following October, and the Microsoft Windows version arrived in February 2019. It is a spiritual successor to SNK Gals' Fighters and features a 2v2 tag-teamgameplay system."
Lost Sphear,NS,Square Enix,2018,1,23,40000,N/A,20000,20000,0,1,1,0,1,"Role-Playing, Japanese-Style",65,69,73,62,75,N/A,N/A,65,60,60,N/A,67,32,80,"Lost Sphear is a  Japanese role-playing video game developed by Tokyo RPG Factory and published by Square Enix. The game is the second to be developed by Tokyo RPG Factory, and considered a spiritual successor to their first title, I Am Setsuna. It was released for Nintendo Switch, PlayStation 4, and Microsoft Windows in Japan in October 2017, and worldwide in January 2018."
Cat Quest,NS,PQube,2018,10,9,40000,40000,N/A,N/A,0,1,1,0,1,"Role-Playing, Action RPG",N/A,74,77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,"Cat Quest is an open RPG game with a background set in the world of strange cats! In order to find the kidnapped sister, you will break into the country of cats-a world full of cat characters, stories and witty words presented in the form of the previous main map."
Minna de Wai Wai! Spelunker,NS,Square Enix,2017,4,20,40000,N/A,N/A,40000,N/A,1,0,0,1,"Action, Platformer",N/A,65,66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,"There was once a Spelunker who dared to brave the caverns of the world despite his frail body. After discovering the location of a cave that held legendary treasure, he equipped himself for whatever might lie ahead and journey within. Alas, he never returned.. .Ten years have passed...Now, you are an amateur Spelunker! Follow in the footsteps of your father who disappeared 10 years ago as you head out on your first real spelunking adventure. Find your father and the legendary treasure!"
Dragon Quest X: All in One Package,NS,Square Enix,2017,9,21,40000,N/A,N/A,40000,N/A,1,1,1,1,"Role-Playing, Japanese-Style",N/A,91,89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,"Dragon Quest X[e] is a massively multiplayer online role-playing game (MMORPG) developed and published by Square Enix. It is the tenth mainline entry in the Dragon Quest series. It was originally released for the Wii in 2012, and was later ported to the Wii U, Microsoft Windows, PlayStation 4, Nintendo Switch, Android, iOS, and Nintendo 3DS, all of which support cross-platform play. Other than a discontinued Windows version in Chinese, the game was not localized outside of Japan."
Marvel's Spider-Man,PS4,Sony Interactive Entertainment	,2018,9,7,20000000,N/A,N/A,N/A,N/A,0,1,0,0,"Action Adventure, Open-World",91,87,87,85,90,N/A,90,95,80,90,90,87,N/A,#VALUE!,"Marvel's Spider-Man is an open-world action-adventure title that allows the player to control Spider-Man throughout Manhattan, New York City. Spider-Man fights enemies with his brawler moveset and a wide array of web gadgets. At key points in the story, the player also controls Peter Parker (outside of his Spider-Man identity), Mary Jane Watson, and Miles Morales."
Grand Theft Auto V,PS4,Rockstar Games,2014,11,18,19390000,6060000,9710000,600000,3020000,0,1,1,1,"Action Adventure, Modern, Open-World",97,97,84,88,N/A,100,N/A,97.5,N/A,90,100,100,40,100,"Grand Theft Auto V is a 2013 action-adventure game developed by Rockstar North and published by Rockstar Games. Set within the fictional state of San Andreas, based on Southern California, the single-player story follows three protagonists—retired bank robber Michael De Santa, street gangster Franklin Clinton, and drug dealer and arms smuggler Trevor Philips—and their attempts to commit heists while under pressure from a corrupt government agency and powerful criminals."
Uncharted 4: A Thief's End,PS4,Sony Interactive Entertainment	,2016,5,10,16250000,N/A,N/A,N/A,N/A,0,1,0,0,"General, Modern, Action Adventure, Linear",92,93,88,91,95,N/A,N/A,95,N/A,100,80,90,N/A,#VALUE!,"Uncharted 4: A Thief's End is a 2016 action-adventure game developed by Naughty Dog and published by Sony Computer Entertainment. It is the fourth main entry in the Uncharted series. Set several years after the events of Uncharted 3: Drake's Deception, players control Nathan Drake, a former treasure hunter coaxed out of retirement by his presumed-dead brother Samuel. With Nathan's longtime partner, Victor Sullivan, they search for clues for the location of Henry Avery's long-lost treasure. "
Call of Duty: Black Ops 3,PS4,Activision	,2015,11,6,15090000,6180000,6050000,410000,2440000,0,1,1,1,"Action, Shooter, First-Person, Arcade",N/A,81,49,73,85,N/A,95,N/A,N/A,70,90,92,N/A,#VALUE!,"Black Ops III takes place in 2065, 40 years after the events of Black Ops II, in a world facing upheaval from climate change and new technologies. Similar to its predecessors, the story follows a group of black ops soldiers. The game's campaign is designed to support 4-player cooperative gameplay, allowing for bigger, more open level design and less corridor shooting. As the player character is cybernetically enhanced, players have access to various special activities. The game also features a standalone Zombies campaign mode, and a ""Nightmares"" mode which replaces all enemies as zombies."
Red Dead Redemption 2,PS4,Rockstar Games,2018,10,26,13940000,5260000,6210000,210000,2260000,0,1,1,1,"Action Adventure, Open-World",98,97,85,94,95,100,100,100,N/A,90,100,100,N/A,#VALUE!,"Red Dead Redemption 2 is a 2018 action-adventure game developed and published by Rockstar Games.  The story is set in 1899 in a fictionalized representation of the Western, Midwestern, and Southern United States and follows outlaw Arthur Morgan, a member of the Van der Linde gang. Arthur must deal with the decline of the Wild West whilst attempting to survive against government forces, rival gangs, and other adversaries. "
Call of Duty: WWII,PS4,Activision,2017,11,3,13400000,4670000,6210000,400000,2120000,0,1,1,1,"Action, Shooter, First-Person, Arcade",80,79,48,80,70,70,85,87.5,70,90,80,80,N/A,#VALUE!,"Call of Duty: WWII is a 2017 first-person shooter video game developed by Sledgehammer Games and published by Activision. It was released worldwide on November 3, 2017 for Microsoft Windows, PlayStation 4 and Xbox One. It is the fourteenth main installment in the Call of Duty series and the first title in the series to be set primarily during World War II since Call of Duty: World at War in 2008. "
The Witcher 3: Wild Hunt        ,PS4,Warner Bros. Interactive Entertainment	,2015,5,19,12400000,N/A,N/A,N/A,N/A,1,1,1,1,"Role-Playing, Action RPG",N/A,92,92,N/A,80,N/A,N/A,97.5,70,100,80,93,N/A,#VALUE!,"The game takes place in a fictional fantasy world based on Slavonic mythology. Players control Geralt of Rivia, a monster slayer for hire known as a Witcher, and search for his adopted daughter, who is on the run from the otherworldly Wild Hunt. Players battle the game's many dangers with weapons and magic, interact with non-player characters, and complete quests to acquire experience points and gold, which are used to increase Geralt's abilities and purchase equipment. The game's story has three possible endings, determined by the player's choices at key points in the narrative."
FIFA 18,PS4,EA Sports,2017,9,29,11800000,1270000,8640000,150000,1730000,1,1,1,1,"Sports, Team, Soccer, Sim",83,84,35,N/A,N/A,N/A,N/A,87.5,90,70,90,81,N/A,#VALUE!,"FIFA 18 is a sports game that simulates association football. The game features 52 fully licensed stadiums from 12 countries, including new stadiums, plus 30 generic fields for a total of 82. All 20 Premier League stadia are represented in the series."
The Last of Us Remastered,PS4,Sony Computer Entertainment,2014,7,29,11780000,N/A,N/A,N/A,N/A,0,1,0,0,"Action Adventure, General, Modern",95,95,92,93,N/A,100,N/A,100,N/A,80,N/A,100,N/A,#VALUE!,"The Last of Us is a 2013 action-adventure game developed by Naughty Dog and published by Sony Computer Entertainment. Players control Joel, a smuggler tasked with escorting a teenage girl, Ellie, across a post-apocalyptic United States. The Last of Us is played from a third-person perspective. Players use firearms and improvised weapons, and can use stealth to defend against hostile humans and cannibalistic creatures infected by a mutated fungus in the genus Cordyceps. In the online multiplayer mode, up to eight players engage in cooperative and competitive gameplay."
God of War (2018),PS4,Sony Interactive Entertainment	,2018,4,20,11000000,N/A,N/A,N/A,N/A,0,1,0,0,"Action Adventure, Linear",97,94,92,90,100,N/A,95,97.5,100,90,100,100,N/A,#VALUE!,"God of War is an action-adventure game developed by Santa Monica Studio and published by Sony Interactive Entertainment (SIE). Released worldwide on April 20, 2018, for the PlayStation 4 (PS4), it is the eighth installment in the God of War series, the eighth chronologically, and the sequel to 2010's God of War III. Unlike previous games, which were loosely based on Greek mythology, this installment is loosely inspired by Norse mythology, with the majority of it set in ancient Scandinavia in the realm of Midgard. "
FIFA 17,PS4,Electronic Arts	,2016,9,27,10940000,1260000,7950000,120000,1610000,0,1,1,1,"Sports, Team, Soccer, Sim",89,85,50,84,N/A,N/A,N/A,87.5,N/A,90,80,84,N/A,#VALUE!,"FIFA 17 introduced a new single-player story campaign mode, ""The Journey"", for PS4, Xbox One and Windows. Players assume the role of Alex Hunter (voiced and modeled by Adetomiwa Edun), a young footballer trying to make his mark in the Premier League.The player is able to select any Premier League club to play for at the beginning of the season. The player can only play in an upfield position as a right winger, striker, left winger, or central attacking midfielder. "
Horizon: Zero Dawn,PS4,Sony Interactive Entertainment,2017,2,18,10000000,N/A,N/A,N/A,N/A,0,1,0,1,"Role-Playing, Action RPG",91,89,84,86,75,N/A,90,87.5,N/A,90,90,93,N/A,#VALUE!,"Horizon Zero Dawn is a 2017 action role-playing game developed by Guerrilla Games and published by Sony Interactive Entertainment. The plot follows Aloy, a young hunter in a world overrun by machines, who sets out to uncover her past. The player uses ranged weapons, a spear, and stealth to combat mechanical creatures and other enemy forces. A skill tree provides the player with new abilities and bonuses. The player can explore the open world to discover locations and take on side quests. It was released for the PlayStation 4 in 2017 and Microsoft Windows in 2020."
Call of Duty: Black Ops IIII,PS4,Activision,2018,10,12,9320000,4050000,3280000,500000,1490000,0,1,1,1,"Action, Shooter, First-Person, Tactical",N/A,83,40,72,N/A,N/A,85,95,N/A,80,N/A,85,N/A,#VALUE!,"Black Ops 4 is the first Call of Duty title without a traditional single-player campaign mode. Instead, it features the Solo Missions mode, which focuses on the backstories of the game's multiplayer characters, known as ""Specialists"". The missions take place between Black Ops II and III chronologically. Some of the Specialists also carried over from Black Ops III. The multiplayer mode is the first in the series to not feature automatic health regeneration and introduces both predictive recoil and a new ballistics system. "
FIFA 19,PS4,Electronic Arts	,2018,9,28,9150000,840000,6870000,100000,1340000,1,1,1,1,"Sports, Team, Soccer, Sim",N/A,83,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,"The game features the UEFA club competitions for the first time, including the UEFA Champions League and UEFA Europa League and the UEFA Super Cup as well. Martin Tyler and Alan Smith return as regular commentators, while the new commentary team of Derek Rae and Lee Dixon feature in the UEFA competitions mode. Composer Hans Zimmer and rapper Vince Staples recorded a new remix of the UEFA Champions League anthem specifically for the game."
Call of Duty: Infinite Warfare,PS4,Activision,2016,11,4,8480000,3110000,3830000,190000,1360000,0,1,1,1,"Action, Shooter, First-Person, Tactical",N/A,77,40,78,70,N/A,70,90,80,80,80,77,N/A,#VALUE!,"Development of Infinite Warfare began during 2014. It is the first title by Infinity Ward under the new three-year development cycle for the Call of Duty series. The game's campaign is centered around a battle for the Solar System, which the Settlement Defense Front (SDF), a hostile force who are the main antagonists, are attempting to take over. "
Fallout 4,PS4,Bethesda Softworks,2015,11,10,8480000,2910000,3970000,270000,1340000,0,1,1,1,"General, Role-Playing, Western-Style",86,87,67,90,75,N/A,90,90,90,90,100,95,N/A,#VALUE!,"Fallout 4 is an action role-playing game developed by Bethesda Game Studios and published by Bethesda Softworks. It is the fourth main game in the Fallout series and was released worldwide on November 10, 2015, for Microsoft Windows, PlayStation 4 and Xbox One. The game is set within an open world post-apocalyptic environment that encompasses the city of Boston and the surrounding Massachusetts region known as ""The Commonwealth""."
FIFA 16,PS4,EA Sports,2015,9,22,8220000,1150000,5770000,70000,1230000,0,1,1,1,"Sports, Team, Soccer, Sim",85,82,44,80,N/A,N/A,N/A,87.5,N/A,90,80,78,N/A,#VALUE!,"FIFA 16 is an association football simulation video game developed by EA Canada and published by EA Sports for Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360, Xbox One, Android and iOS.The game is the first in the FIFA series to include female players. It is also the first in which the players on the covers were chosen by popular vote, including one of the first three women to appear on the cover. Martin Tyler and Alan Smith are the commentators for the game. "
Star Wars Battlefront (2015),PS4,Electronic Arts	,2015,11,17,8030000,3310000,3190000,230000,1300000,0,1,1,1,"General, General, Action, Shooter, First-Person, Tactical",71,73,51,77,60,N/A,80,75,70,70,80,80,N/A,#VALUE!,"Star Wars Battlefront is an action shooter video game developed by EA DICE, with additional work from Criterion Games,and published by Electronic Arts in November 2015. The game, based on the Star Wars film franchise, is the third major release in the Star Wars: Battlefront sub-series, and is considered a reboot to the previous games, instead of a sequel,to reflect the new Star Wars canon that Lucasfilm established (to replace the Star Wars expanded universe) after being acquired by The Walt Disney Company."
Call of Duty: Advanced Warfare,PS4,Activision,2014,11,4,7530000,2840000,3340000,140000,1220000,0,1,1,1,"Action, Shooter, First-Person, Modern, Arcade",85,83,57,78,N/A,N/A,90,90,N/A,80,N/A,91,N/A,#VALUE!,"Call of Duty: Advanced Warfare is a 2014 first-person shooter video game published by Activision. The eleventh major installment in the Call of Duty series, the game was developed by Sledgehammer Games for Microsoft Windows, PlayStation 4 and Xbox One, while High Moon Studios developed the versions released on PlayStation 3 and Xbox 360, and Raven Software developed the game's multiplayer and the Exo-Zombies mode. "
Battlefield 1,PS4,Electronic Arts        ,2016,10,21,7260000,2200000,3650000,290000,1120000,0,1,1,1,"Action, General, Shooter, First-Person, Tactical",91,89,79,89,80,N/A,80,92.5,90,90,80,90,N/A,#VALUE!,"Battlefield 1 is a first-person shooter video game developed by EA DICE and published by Electronic Arts. It was released worldwide for Microsoft Windows, PlayStation 4, and Xbox One on October 21, 2016.Battlefield 1 received positive reviews by critics and was seen as an improvement over the series' previous installments, Battlefield 4 and Battlefield Hardline. Most of the praise was directed towards its World War I theme, single-player campaigns, multiplayer modes, visuals, and sound design. "
Ghost of Tsushima,PS4,Sony Interactive Entertainment	,2020,7,17,6500000,N/A,N/A,N/A,N/A,0,1,0,0,"General, Action Adventure, Open-World",88,83,92,86,95,N/A,N/A,95,80,70,90,90,40,100,"Ghost of Tsushima is a 2020 action-adventure game developed by Sucker Punch Productions and published by Sony Interactive Entertainment. Featuring an open world, the player controls Jin Sakai, a samurai on a quest to protect Tsushima Island during the first Mongol invasion of Japan. The game was released on July 17, 2020 for PlayStation 4. It received praise for its visuals and combat, but was criticized for its open world activities. Ghost of Tsushima also earned several award nominations and wins and sold 6.5 million copies as of March 2021. "
Minecraft,PS4,Sony Interactive Entertainment	,2014,10,7,6330000,1890000,3130000,350000,960000,1,1,1,1,"Action Adventure, Adventure, Sandbox, First-Person, Fantasy,",94,89,68,N/A,N/A,90,N/A,92.5,N/A,85,N/A,97,N/A,#VALUE!,"In Minecraft, players explore a blocky, procedurally-generated 3D world with virtually infinite terrain, and may discover and extract raw materials, craft tools and items, and build structures or earthworks. Depending on game mode, players can fight computer-controlled ""mobs"", as well as cooperate with or compete against other players in the same world. Game modes include a survival mode, in which players must acquire resources to build the world and maintain health, and a creative mode, where players have unlimited resources. Players can modify the game to create new gameplay mechanics, items, and assets. "
FIFA 15,PS4,EA Sports,2014,9,23,6320000,830000,4490000,50000,940000,0,1,1,1,"Sports, Team, Soccer, Sim",81,82,57,80,N/A,N/A,N/A,92.5,N/A,80,90,83,N/A,#VALUE!,"FIFA 15's Ultimate Team introduced a new feature, in which users can sign loan players for a limited duration of matches. Another new feature is The Concept Squad, where players are given access to the game's database and can create a ""dream squad"". The concept player's card is grey colored. A number of new legends are also introduced to the game, including Franz Beckenbauer, Roberto Carlos, Peter Schmeichel and Hristo Stoichkov which are only available on Xbox One and Xbox 360."
Destiny,PS4,Activision,2014,9,9,5760000,2530000,2130000,160000,940000,0,1,1,0,"Shooter, Action, First-Person, Sci-Fi, Arcade",N/A,76,61,67,N/A,N/A,N/A,87.5,N/A,60,90,78,N/A,#VALUE!,"Destiny is an online-only multiplayer first-person shooter video game developed by Bungie and previously published by Activision. Destiny is now self-published by Bungie after separating from Activision in 2019. It was released worldwide on September 9, 2014, for the PlayStation 3, PlayStation 4, Xbox 360, and Xbox One consoles.  among player versus environment (PvE) and player versus player (PvP) game types."
Uncharted: The Nathan Drake Collection,PS4,Sony Computer Entertainment,2015,10,7,5700000,2550000,2110000,100000,940000,0,1,0,0,"Miscellaneous, Action Adventure, General, Compilation",81,86,86,N/A,N/A,N/A,N/A,N/A,N/A,80,80,90,N/A,#VALUE!,"Uncharted: The Nathan Drake Collection is a 2015 remaster of the first three games in the Uncharted series, developed by Bluepoint Games and published by Sony Computer Entertainment. It was released for the PlayStation 4 on October 7, 2015. The three games follow treasure hunter Nathan Drake as he travels across the world to uncover various historical mysteries. The three games were originally developed by Naughty Dog for the PlayStation 3. The collection received generally positive reviews upon release."
